"SNF VBP Program Ranking","Footnote -- SNF VBP Program Ranking","CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Footnote -- Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Performance Period: FY 2022 Risk-Standardized Readmission Rate","Footnote -- Performance Period: FY 2022 Risk-Standardized Readmission Rate","Achievement Score","Footnote -- Achievement Score","Improvement Score","Footnote -- Improvement Score","Performance Score","Footnote -- Performance Score","Incentive Payment Multiplier","Footnote -- Incentive Payment Multiplier"
7275,,146174,MERCY CIRCLE,3659 WEST 99TH STREET,CHICAGO,IL,60655,0.18524,,0.20832,,0.00000,,0.00000,,0.00000,,0.9802538758,
1370,,146176,CELEBRATE SENIOR LIVING NILES,7000 NORTH NEWARK,NILES,IL,60714,0.18719,,0.17840,,74.11483,,45.17123,,74.11483,,1.0148105083,
1471,,146177,RESTHAVE HOME - WHITESIDE COUNTY,408 MAPLE AVENUE,MORRISON,IL,61270,0.19081,,0.17898,,72.72727,,50.96026,,72.72727,,1.0143892392,
6894,,146178,VICTORIAN VILLAGE HLTH & WELL,12525 W RENAISSANCE CIRCLE,HOMER GLEN,IL,60491,0.25154,,0.24029,,0.00000,,8.74130,,8.74130,,0.9806028511,
6829,,146179,HEALTHBRIDGE OF ARLINGTON HTS,1200 N ARLINGTON HEIGHTS RD,ARLINGTON HEIGHTS,IL,60004,0.22997,,0.22113,,0.00000,,9.66003,,9.66003,,0.9806598517,
7275,,146181,AVONDALE ESTATES OF ELGIN,1754-1760 CAPITAL STREET,ELGIN,IL,60124,0.18232,,0.22003,,0.00000,,0.00000,,0.00000,,0.9802538758,
1728,,146182,ALDEN COURTS OF WATERFORD,1991 RANDI DRIVE,AURORA,IL,60504,0.22378,,0.18412,,60.43062,,68.29514,,68.29514,,1.0126864864,
7275,,146183,ALDEN COURTS OF SHOREWOOD,700 WEST BLACK ROAD,SHOREWOOD,IL,60404,0.21892,,0.23766,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,146186,ALDEN ESTATES CTS OF HUNTLEY,12140 REGENCY PARKWAY,HUNTLEY,IL,60142,0.19196,,0.21933,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,146187,ASBURY COURT NURSING & REHAB,1750 ELMHURST ROAD,DES PLAINES,IL,60018,0.21215,,0.21704,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,146191,MADO HEALTHCARE - UPTOWN,4621 NORTH RACINE AVENUE,CHICAGO,IL,60640,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.21199,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802538758,
7275,,146192,THRIVE OF LISLE,2850 OGDEN AVENUE,LISLE,IL,60532,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.20850,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802538758,
1094,,146193,MANOR COURT OF ROCHELLE,2203 FLAGG ROAD,ROCHELLE,IL,61068,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.17606,,79.71292,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",79.71292,,1.0160835745,
7275,,146194,THRIVE OF FOX VALLEY,4020 E NEW YORK STREET,AURORA,IL,60504,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.21386,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802538758,
7275,,146195,IGNITE MEDICAL MCHENRY,550 RIDGEVIEW DRIVE,MCHENRY,IL,60050,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.21372,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802538758,
5457,,146196,MERCYHEALTH JAVON BEA HOSPITAL - SNF,2400 N ROCKTON AVE,ROCKFORD,IL,61103,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.19888,,25.11962,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",25.11962,,0.9829094534,
2938,,150075,BLUFFTON REGIONAL MEDICAL CENTER,303 S MAIN ST,BLUFFTON,IN,46714,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.18740,,52.58373,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",52.58373,,1.0014028319,
2579,,155001,HOOVERWOOD,7001 HOOVER RD,INDIANAPOLIS,IN,46260,0.22196,,0.18953,,47.48804,,57.01951,,57.01951,,1.0053623626,
7275,,155003,MASON HEALTH CARE CENTER,900 PROVIDENT DRIVE,WARSAW,IN,46580,0.20093,,0.22299,,0.00000,,0.00000,,0.00000,,0.9802538758,
562,,155005,BEAUMONT REHABILITATION AND HEALTHCARE CENTER,1345 N MADISON AVE,ANDERSON,IN,46011,0.20153,,0.17018,,93.77990,,90.00000,,93.77990,,1.0174622193,
2701,,155006,WATERS OF WABASH SKILLED NURSING FACILITY EAST THE,1900 N ALBER ST,WABASH,IN,46992,0.21677,,0.18833,,50.35885,,55.38217,,55.38217,,1.0039504188,
6121,,155019,GARDEN VILLA - BLOOMINGTON,1100 S CURRY PK,BLOOMINGTON,IN,47403,0.18664,,0.20182,,18.08612,,0.00000,,18.08612,,0.9814979917,
1,,155026,GREENWOOD VILLAGE SOUTH,295 VILLAGE LANE,GREENWOOD,IN,46143,0.16528,,0.14840,,100.00000,,90.00000,,100.00000,,1.0176785153,
5547,,155041,NORTHWEST MANOR HEALTH CARE CENTER,6440 W 34TH ST,INDIANAPOLIS,IN,46224,0.17505,,0.19924,,24.25837,,0.00000,,24.25837,,0.9826863670,
7275,,155042,WILLOW MANOR,"3801 OLD BRUCEVILLE ROAD, BOX 136",VINCENNES,IN,47591,0.20282,,0.21249,,0.00000,,0.00000,,0.00000,,0.9802538758,
4446,,155049,MILLER'S MERRY MANOR,1630 S COUNTY FARM RD,WARSAW,IN,46580,0.20007,,0.19428,,36.12440,,14.04605,,36.12440,,0.9875787998,
2032,,155053,"WATERS OF RUSHVILLE SKILLED NURSING FACILITY, THE",612 E 11TH ST,RUSHVILLE,IN,46173,0.16903,,0.18259,,64.09091,,0.00000,,64.09091,,1.0104833242,
3698,,155061,ENVIVE OF LAWRENCEBURG,403 BIELBY RD,LAWRENCEBURG,IN,47025,0.23876,,0.20473,,11.12440,,44.25460,,44.25460,,0.9936628644,
2800,,155062,BRICKYARD HEALTHCARE - LAPORTE CARE CENTER,1700 I STREET,LA PORTE,IN,46350,0.21448,,0.18790,,51.38756,,54.31712,,54.31712,,1.0029977413,
5745,,155064,APERION CARE KOKOMO,3518 S LAFOUNTAIN ST,KOKOMO,IN,46902,0.22385,,0.20912,,0.00000,,22.18715,,22.18715,,0.9822131243,
6782,,155066,EDGEWATER WOODS,1809 N MADISON AVE,ANDERSON,IN,46011,0.18501,,0.20504,,10.38278,,0.00000,,10.38278,,0.9807083846,
2007,,155070,GREEN VALLEY CARE CENTER,3118 GREEN VALLEY RD,NEW ALBANY,IN,47150,0.19401,,0.18247,,64.37799,,42.41167,,64.37799,,1.0106536805,
7119,,155072,BEECH GROVE MEADOWS,2002 ALBANY ST,BEECH GROVE,IN,46107,0.20321,,0.20703,,5.62201,,0.00000,,5.62201,,0.9804431947,
6038,,155076,BRICKYARD HEALTHCARE - BROOKVIEW CARE CENTER,7145 E 21ST STREET,INDIANAPOLIS,IN,46219,0.19194,,0.20144,,18.99522,,0.00000,,18.99522,,0.9816344135,
7275,,155086,WOODLAND MANOR,343 S NAPPANEE ST,ELKHART,IN,46514,0.18513,,0.20941,,0.00000,,0.00000,,0.00000,,0.9802538758,
5820,,155089,HERITAGE HOUSE OF NEW CASTLE,1023 N 20TH ST,NEW CASTLE,IN,47362,0.19680,,0.20042,,21.43541,,0.00000,,21.43541,,0.9820615648,
6095,,155094,ST MARY HEALTHCARE CENTER,2201 CASON ST,LAFAYETTE,IN,47904,0.19887,,0.20168,,18.42105,,0.00000,,18.42105,,0.9815469329,
6272,,155095,HERITAGE PARK,2001 HOBSON RD,FORT WAYNE,IN,46805,0.18362,,0.20253,,16.38756,,0.00000,,16.38756,,0.9812718309,
7275,,155100,GARDEN VILLA - BEDFORD,2111 NORTON LN,BEDFORD,IN,47421,0.19333,,0.22271,,0.00000,,0.00000,,0.00000,,0.9802538758,
3529,,155102,MILLER'S MERRY MANOR,635 OAKHILL AVE,PLYMOUTH,IN,46563,0.19925,,0.19001,,46.33971,,26.23732,,46.33971,,0.9955333484,
3463,,155103,TRAILPOINT VILLAGE,1950 RIDGEDALE RD,SOUTH BEND,IN,46614,0.19990,,0.18970,,47.08134,,28.74132,,47.08134,,0.9962178839,
5047,,155104,"HERITAGE CENTER, THE",1201 W BUENA VISTA RD,EVANSVILLE,IN,47710,0.18441,,0.19708,,29.42584,,0.00000,,29.42584,,0.9842979363,
7275,,155106,RIVERWALK VILLAGE,295 WESTFIELD RD,NOBLESVILLE,IN,46060,0.17653,,0.21315,,0.00000,,0.00000,,0.00000,,0.9802538758,
6275,,155109,BRICKYARD HEALTHCARE - TWELFTH STREET CARE CENTER,811 E 12TH STREET,MISHAWAKA,IN,46544,0.18388,,0.20255,,16.33971,,0.00000,,16.33971,,0.9812659624,
3633,,155120,BRICKYARD HEALTHCARE - BRANDYWINE CARE CENTER,745 N SWOPE ST,GREENFIELD,IN,46140,0.17208,,0.19053,,45.09569,,0.00000,,45.09569,,0.9944064202,
7275,,155121,ROSEWALK VILLAGE AT LAFAYETTE,1903 UNION ST,LAFAYETTE,IN,47904,0.18186,,0.21123,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,155124,VERMILLION CONVALESCENT CENTER,1705 S MAIN ST,CLINTON,IN,47842,0.19613,,0.23390,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,155126,SPRINGS VALLEY MEADOWS,457 S SR 145,FRENCH LICK,IN,47432,0.20157,,0.21730,,0.00000,,0.00000,,0.00000,,0.9802538758,
2533,,155128,MILLER'S AT OAK POINTE,411 N WOLF RD,COLUMBIA CITY,IN,46725,0.17327,,0.18530,,57.60766,,0.00000,,57.60766,,1.0058516839,
7275,,155131,MUNSTER MED - INN,7935 CALUMET AVE,MUNSTER,IN,46321,0.19416,,0.23967,,0.00000,,0.00000,,0.00000,,0.9802538758,
1,,155132,DANVILLE REGIONAL REHABILITATION,255 MEADOW DR,DANVILLE,IN,46122,0.17152,,0.16554,,100.00000,,90.00000,,100.00000,,1.0176785153,
6208,,155133,"BELMONT HEALTH & REHABILITATION, THE",540 BELMONT DRIVE,COLUMBUS,IN,47201,0.21737,,0.20687,,6.00478,,17.01258,,17.01258,,0.9813509383,
6411,,155135,WESTVIEW NURSING AND REHABILITATION CENTER,1510 CLINIC DR,BEDFORD,IN,47421,0.20153,,0.20319,,14.80861,,0.00000,,14.80861,,0.9810914115,
7275,,155136,BRICKYARD HEALTHCARE - TERRACE CARE CENTER,1900 ANDREW AVE,LA PORTE,IN,46350,0.24779,,0.25761,,0.00000,,0.00000,,0.00000,,0.9802538758,
852,,155137,BRICKYARD HEALTHCARE - VALPARAISO CARE CENTER,251 STURDY RD,VALPARAISO,IN,46383,0.18029,,0.17384,,85.02392,,55.73446,,85.02392,,1.0168230869,
939,,155139,NORTH WOODS VILLAGE,2233 W JEFFERSON ST,KOKOMO,IN,46901,0.21073,,0.17467,,83.03828,,82.82270,,83.03828,,1.0165880634,
7275,,155143,MAJESTIC CARE OF TERRE HAUTE,3150 N SEVENTH ST,TERRE HAUTE,IN,47804,0.20148,,0.21402,,0.00000,,0.00000,,0.00000,,0.9802538758,
2668,,155145,WASHINGTON NURSING CENTER,603 E NATIONAL HWY,WASHINGTON,IN,47501,0.20204,,0.18607,,55.76555,,44.33580,,55.76555,,1.0042871362,
3739,,155152,MONTICELLO HEALTHCARE,1120 N MAIN ST,MONTICELLO,IN,47960,0.18597,,0.19110,,43.73206,,0.00000,,43.73206,,0.9932094941,
1,,155153,HEALTHWIN,20531 DARDEN RD,SOUTH BEND,IN,46637,0.17168,,0.16611,,100.00000,,90.00000,,100.00000,,1.0176785153,
1100,,155154,SPRING MILL MEADOWS,2140 W 86TH ST,INDIANAPOLIS,IN,46260,0.18056,,0.17610,,79.61722,,35.95500,,79.61722,,1.0160666709,
7275,,155156,APERION CARE ARBORS MICHIGAN CITY,1101 E COOLSPRING AVE,MICHIGAN CITY,IN,46360,0.20545,,0.22964,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,155157,BRICKYARD HEALTHCARE - RICHMOND CARE CENTER,1042 OAK DR,RICHMOND,IN,47374,0.21170,,0.22023,,0.00000,,0.00000,,0.00000,,0.9802538758,
2764,,155158,LIFE CARE CENTER OF THE WILLOWS,1000 ELIZABETH DR,VALPARAISO,IN,46383,0.17859,,0.18657,,54.56938,,0.00000,,54.56938,,1.0032255302,
3630,,155160,STONEBROOKE REHABILITATION CENTER,990 N 16TH ST,NEW CASTLE,IN,47362,0.17559,,0.19052,,45.11962,,0.00000,,45.11962,,0.9944278078,
5762,,155165,RIVERVIEW VILLAGE,586 EASTERN BLVD,CLARKSVILLE,IN,47129,0.20141,,0.20016,,22.05742,,0.00000,,22.05742,,0.9821862429,
5341,,155166,VALPARAISO CARE & REHABILITATION,606 WALL STREET,VALPARAISO,IN,46383,0.19845,,0.19832,,26.45933,,0.00000,,26.45933,,0.9832903712,
2435,,155167,WESTMINSTER VILLAGE NORTH,11050 PRESBYTERIAN DR,INDIANAPOLIS,IN,46236,0.21350,,0.18552,,57.08134,,58.83755,,58.83755,,1.0068409503,
1365,,155170,WESTMINSTER VILLAGE MUNCIE INC,5801 W BETHEL AVE,MUNCIE,IN,47304,0.16896,,0.17836,,74.21053,,0.00000,,74.21053,,1.0148378165,
2120,,155173,MILLER'S MERRY MANOR,505 N BRADNER AVE,MARION,IN,46952,0.18323,,0.18314,,62.77512,,0.00000,,62.77512,,1.0096641148,
7275,,155176,GLENBROOK REHABILITATION & SKILLED NURSING CENTER,3811 PARNELL AVE,FORT WAYNE,IN,46805,0.19106,,0.21916,,0.00000,,0.00000,,0.00000,,0.9802538758,
1,,155177,WESTMINSTER VILLAGE - WEST LAFAYETTE,2741 N SALISBURY ST,WEST LAFAYETTE,IN,47906,0.17948,,0.15382,,100.00000,,90.00000,,100.00000,,1.0176785153,
4123,,155178,BRICKYARD HEALTHCARE - FOUNTAINVIEW CARE CENTER,609 W TANGLEWOOD LN,MISHAWAKA,IN,46545,0.19815,,0.19288,,39.47368,,13.50421,,39.47368,,0.9898138684,
3621,,155181,CARMEL HEALTH & LIVING COMMUNITY,118 MEDICAL DR,CARMEL,IN,46032,0.17723,,0.19048,,45.21531,,0.00000,,45.21531,,0.9945134530,
5033,,155183,"WATERS OF MARTINSVILLE, THE",2055 HERITAGE DR,MARTINSVILLE,IN,46151,0.20073,,0.19702,,29.56938,,6.94462,,29.56938,,0.9843529432,
7275,,155187,BRICKYARD HEALTHCARE - PORTAGE CARE CENTER,3175 LANCER ST,PORTAGE,IN,46368,0.19712,,0.21446,,0.00000,,0.00000,,0.00000,,0.9802538758,
4552,,155188,GREENFIELD HEALTHCARE CENTER,200 GREEN MEADOWS DR,GREENFIELD,IN,46140,0.19409,,0.19480,,34.88038,,0.00000,,34.88038,,0.9868524184,
1,,155191,WESTMINSTER VILLAGE KENTUCKIANA,2210 GREENTREE N,CLARKSVILLE,IN,47129,0.19849,,0.16032,,100.00000,,90.00000,,100.00000,,1.0176785153,
7275,,155193,GREENWOOD HEALTHCARE CENTER,377 WESTRIDGE BLVD,GREENWOOD,IN,46142,0.21279,,0.23858,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,155196,ALTENHEIM HEALTH & LIVING COMMUNITY,3525 E HANNA AVE,INDIANAPOLIS,IN,46237,0.20098,,0.24284,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,155198,MARQUETTE,8140 TOWNSHIP LINE RD,INDIANAPOLIS,IN,46260,0.16237,,0.21997,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,155202,"WATERS OF GREENCASTLE, THE",1601 HOSPITAL DR,GREENCASTLE,IN,46135,0.19425,,0.21534,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,155203,HILLCREST VILLAGE,203 SPARKS AVE,JEFFERSONVILLE,IN,47130,0.19060,,0.24356,,0.00000,,0.00000,,0.00000,,0.9802538758,
3072,,155205,GREENCROFT HEALTHCARE,1225 GREENCROFT DR,GOSHEN,IN,46527,0.17611,,0.18799,,51.17225,,0.00000,,51.17225,,1.0000765805,
1114,,155206,BROWNSBURG HEALTH CARE CENTER,1010 HORNADAY RD,BROWNSBURG,IN,46112,0.20444,,0.17621,,79.35407,,76.19068,,79.35407,,1.0160194316,
6340,,155208,HANOVER NURSING CENTER,410 W LAGRANGE RD,HANOVER,IN,47243,0.21030,,0.20291,,15.47847,,13.18853,,15.47847,,0.9811647033,
4102,,155209,"WATERS OF CLIFTY FALLS, THE",950 CROSS AVE,MADISON,IN,47250,0.23925,,0.20811,,0.00000,,39.75424,,39.75424,,0.9900193484,
1,,155214,SAINT ANTHONY,203 FRANCISCAN DR,CROWN POINT,IN,46307,0.16641,,0.16302,,100.00000,,90.00000,,100.00000,,1.0176785153,
6055,,155215,PLAINFIELD HEALTH CARE CENTER,3700 CLARKS CREEK RD,PLAINFIELD,IN,46168,0.20325,,0.20152,,18.80383,,0.15188,,18.80383,,0.9816047407,
7275,,155218,GREAT LAKES HEALTHCARE CENTER,2300 GREAT LAKES DR,DYER,IN,46311,0.18992,,0.21795,,0.00000,,0.00000,,0.00000,,0.9802538758,
1831,,155219,MAJESTIC CARE OF SOUTH BEND,52654 N IRONWOOD RD,SOUTH BEND,IN,46635,0.19279,,0.18162,,66.41148,,43.31315,,66.41148,,1.0117756259,
7275,,155220,DYER NURSING AND REHABILITATION CENTER,601 SHEFFIELD AVE,DYER,IN,46311,0.21696,,0.22607,,0.00000,,0.00000,,0.00000,,0.9802538758,
4182,,155221,WESTMINSTER VILLAGE HEALTH & REHAB,1120 E DAVIS DR,TERRE HAUTE,IN,47802,0.20353,,0.19315,,38.82775,,25.65564,,38.82775,,0.9893513351,
6319,,155222,KOKOMO HEALTHCARE CENTER,429 W LINCOLN RD,KOKOMO,IN,46902,0.19791,,0.20277,,15.81340,,0.00000,,15.81340,,0.9812031151,
6811,,155223,"WATERS OF COVINGTON, THE",1600 E LIBERTY ST,COVINGTON,IN,47932,0.19521,,0.20523,,9.92823,,0.00000,,9.92823,,0.9806774680,
6707,,155224,COLUMBIA HEALTHCARE CENTER,621 W COLUMBIA ST,EVANSVILLE,IN,47710,0.21120,,0.20463,,11.36364,,10.81989,,11.36364,,0.9807798881,
4153,,155229,WOODLANDS THE,3820 W JACKSON ST,MUNCIE,IN,47304,0.21009,,0.19303,,39.11483,,37.20683,,39.11483,,0.9895550798,
5988,,155230,ROSEBUD VILLAGE,2050 CHESTER BLVD,RICHMOND,IN,47374,0.20691,,0.20120,,19.56938,,10.33298,,19.56938,,0.9817266048,
7275,,155231,RANDOLPH NURSING HOME,701 S OAK ST,WINCHESTER,IN,47394,0.18087,,0.21197,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,155233,"WATERS OF BATESVILLE, THE",958 E HWY 46,BATESVILLE,IN,47006,0.18064,,0.21429,,0.00000,,0.00000,,0.00000,,0.9802538758,
3992,,155235,MILLER'S MERRY MANOR,200 26TH ST,LOGANSPORT,IN,46947,0.18666,,0.19224,,41.00478,,0.00000,,41.00478,,0.9909681030,
7275,,155236,AVON HEALTH & REHABILITATION CENTER,4171 FOREST POINTE CIRCLE,AVON,IN,46123,0.19134,,0.21876,,0.00000,,0.00000,,0.00000,,0.9802538758,
1003,,155238,YORKTOWN MANOR,2000 S ANDREWS RD,YORKTOWN,IN,47396,0.17390,,0.17530,,81.53110,,0.00000,,81.53110,,1.0163783424,
7275,,155241,FOREST CREEK VILLAGE,525 E THOMPSON RD,INDIANAPOLIS,IN,46227,0.18905,,0.21233,,0.00000,,0.00000,,0.00000,,0.9802538758,
1627,,155242,SIGNATURE HEALTHCARE OF MUNCIE,4301 N WALNUT ST,MUNCIE,IN,47303,0.16867,,0.18023,,69.73684,,0.00000,,69.73684,,1.0133048769,
5814,,155243,MAJESTIC CARE OF LAFAYETTE,300 WINDY HILL DR,LAFAYETTE,IN,47905,0.20424,,0.20041,,21.45933,,6.07897,,21.45933,,0.9820662331,
1340,,155246,CHESTERTON MANOR,110 BEVERLY DR,CHESTERTON,IN,46304,0.20091,,0.17814,,74.73684,,67.88732,,74.73684,,1.0149841437,
7102,,155247,MAJESTIC CARE OF SOUTHPORT,8549 S MADISON AVE,INDIANAPOLIS,IN,46227,0.21528,,0.21030,,0.00000,,5.91866,,5.91866,,0.9804563784,
7275,,155248,BRICKYARD HEALTHCARE - BRENTWOOD CARE CENTER,30 E CHANDLER AVE,EVANSVILLE,IN,47713,0.17754,,0.22535,,0.00000,,0.00000,,0.00000,,0.9802538758,
7275,,155252,BRICKYARD HEALTHCARE - WOODLANDS CARE CENTER,4088 FRAME RD,NEWBURGH,IN,47630,0.21499,,0.22878,,0.00000,,0.00000,,0.00000,,0.9802538758,
6753,,155255,CELEBRATE SENIOR LIVING OF FORT WAYNE,3420 EAST STATE BLVD,FORT WAYNE,IN,46805,0.22470,,0.21602,,0.00000,,10.77321,,10.77321,,0.9807360418,
2869,,155258,COUNTRYSIDE MANOR HEALTH & LIVING COMMUNITY,205 MARINE DR,ANDERSON,IN,46016,0.20048,,0.18708,,53.34928,,38.49237,,53.34928,,1.0021129890,
1049,,155264,BRICKYARD HEALTHCARE - GOLDEN RULE CARE CENTER,2330 STRAIGHT LINE PIKE,RICHMOND,IN,47374,0.19898,,0.17569,,80.59809,,74.46093,,80.59809,,1.0162331765,
7275,,155265,WEDGEWOOD HEALTHCARE CENTER,101 POTTERS LN,CLARKSVILLE,IN,47129,0.20598,,0.25799,,0.00000,,0.00000,,0.00000,,0.9802538758,
3962,,155269,EAST LAKE NURSING & REHABILITATION CENTER,1900 JEANWOOD DR,ELKHART,IN,46514,0.21007,,0.19213,,41.26794,,39.40594,,41.26794,,0.9911744135,
6030,,155271,"WATERS OF CASTLETON SKILLED NURSING FACILITY, THE",8400 CLEARVISTA PL,INDIANAPOLIS,IN,46256,0.17091,,0.20139,,19.11483,,0.00000,,19.11483,,0.9816532230,
5503,,155272,ALLISON POINTE HEALTHCARE CENTER,5226 E 82ND STREET,INDIANAPOLIS,IN,46250,0.22096,,0.20570,,8.80383,,24.75239,,24.75239,,0.9828123253,
7275,,155278,BRICKYARD HEALTHCARE - BLOOMINGTON CARE CENTER,155 E BURKS DR,BLOOMINGTON,IN,47401,0.17627,,0.21813,,0.00000,,0.00000,,0.00000,,0.9802538758,
4735,,155280,"WATERS OF DILLSBORO - ROSS MANOR, THE",12803 LENOVER ST,DILLSBORO,IN,47018,0.20982,,0.19567,,32.79904,,30.24284,,32.79904,,0.9857603673,
6581,,155282,GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,2515 NEWTON ST,JASPER,IN,47547,0.18096,,0.20401,,12.84689,,0.00000,,12.84689,,0.9809016203,
1455,,155287,RENSSELAER CARE CENTER,1309 E GRACE ST,RENSSELAER,IN,47978,0.20695,,0.17889,,72.94258,,70.26824,,72.94258,,1.0144577982,
1,,155289,COLONIAL OAKS HEALTH CARE CENTER,4725 S COLONIAL OAKS DR,MARION,IN,46953,0.15100,,0.16029,,100.00000,,0.00000,,100.00000,,1.0176785153,
3888,,155290,ST ELIZABETH HEALTHCARE CENTER,701 ARMORY RD,DELPHI,IN,46923,0.19220,,0.19182,,42.00957,,0.00000,,42.00957,,0.9917677759,
4617,,155291,EAGLE VALLEY MEADOWS,3017 VALLEY FARMS RD,INDIANAPOLIS,IN,46214,0.18161,,0.19512,,34.11483,,0.00000,,34.11483,,0.9864330546,
1071,,155292,AMERICAN VILLAGE,2026 EAST 54TH ST,INDIANAPOLIS,IN,46220,0.19471,,0.17589,,80.11962,,70.15974,,80.11962,,1.0161538025,
5400,,155295,CLINTON HOUSE REHABILITATION AND HEALTHCARE CENTER,809 W FREEMAN ST,FRANKFORT,IN,46041,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.19860,,25.78947,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",25.78947,,0.9830945747,
5456,,155297,MILLER'S HEALTH & REHAB BY MILLER'S MERRY MANOR,3530 MONROE STREET,LA PORTE,IN,46350,0.24742,,0.22400,,0.00000,,25.12219,,25.12219,,0.9829101438,
4803,,155299,MILLER'S MERRY MANOR,5909 LUTE RD,PORTAGE,IN,46368,0.21124,,0.19606,,31.86603,,31.51672,,31.86603,,0.9853191859,
1927,,155304,"WATERS OF NEW CASTLE, THE",1000 N 16TH ST,NEW CASTLE,IN,47362,0.19465,,0.18207,,65.33493,,45.36029,,65.33493,,1.0112000293,
1,,155305,SKILLED CARING CENTER OF MEMORIAL HOSPITAL,800 W NINTH ST,JASPER,IN,47546,0.16264,,0.16098,,100.00000,,90.00000,,100.00000,,1.0176785153,
2437,,155312,INDIAN CREEK HEALTHCARE CENTER,240 BEECHMONT DR,CORYDON,IN,47112,0.18402,,0.18480,,58.80383,,0.00000,,58.80383,,1.0068144673,
5379,,155319,CLINTON GARDENS,375 S 11TH ST,CLINTON,IN,47842,0.19381,,0.19850,,26.02871,,0.00000,,26.02871,,0.9831632537,
3285,,155321,"WATERS OF FORT WAYNE SKILLED NURSING FACILITY, THE",5544 E STATE BLVD,FORT WAYNE,IN,46815,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.18897,,48.82775,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",48.82775,,0.9978558107,
1003,,155324,MITCHELL MANOR,24 TEKE BURTON DR,MITCHELL,IN,47446,0.17182,,0.17530,,81.53110,,0.00000,,81.53110,,1.0163783424,
2567,,155325,MEADOW VIEW HEALTH AND REHABILITATION,900 ANSON ST,SALEM,IN,47167,0.17084,,0.18550,,57.12919,,0.00000,,57.12919,,1.0054543729,
7275,,155327,UNIVERSITY HEIGHTS HEALTH AND LIVING COMMUNITY,1380 E COUNTY LINE RD S,INDIANAPOLIS,IN,46227,0.21898,,0.22503,,0.00000,,0.00000,,0.00000,,0.9802538758,
